date,ccf
2025-07-18,5.5318
2025-07-19,0.2718
2025-07-20,0.305
2025-07-21,4.4346
2025-07-22,4.4735
2025-07-23,31.6462
2025-07-24,2.8532
2025-07-25,0.3905
2025-07-26,11.7162
2025-07-27,0.2864
2025-07-28,4.3782
2025-07-29,0.1859
2025-07-30,0.0073
2025-07-31,2.8068
2025-08-01,2.4031
2025-08-02,0.2489
2025-08-03,3.9066
2025-08-04,11.232
2025-08-05,38.2063
2025-08-06,14.2463
2025-08-07,0.1352
2025-08-08,11.1144
2025-08-09,3.2491
2025-08-10,3.7832
2025-08-11,4.2202
2025-08-12,0.0583
2025-08-13,5.1399
2025-08-14,1.963
2025-08-15,3.9525
2025-08-16,4.6204
2025-08-17,0.512
2025-08-18,0.2783
2025-08-19,0.1967
2025-08-20,0.0173
2025-08-21,15.1179
2025-08-22,4.7736
2025-08-23,18.4795
2025-08-24,11.3672
2025-08-25,0.0133
2025-08-26,6.4968
2025-08-27,14.2538
2025-08-28,5.862
2025-08-29,9.07
2025-08-30,4.3398
2025-08-31,12.5009
2025-09-01,7.8064
2025-09-02,0.0009
2025-09-03,0.0017
2025-09-04,0.0217
2025-09-05,0.223
2025-09-06,0.0102
2025-09-07,0.0845
2025-09-08,0.0067
2025-09-09,0.0032
2025-09-10,0.0016
2025-09-11,0.0211
2025-09-12,0.3134
2025-09-13,0.3893
2025-09-14,0.1841
2025-09-15,0.0012
2025-09-16,0.0105
2025-09-17,0.0014
2025-09-18,0.0039
2025-09-19,0.3094
2025-09-20,0.2548
2025-09-21,0.1505
2025-09-22,0.0011
2025-09-23,0.0156
2025-09-24,0.0008
2025-09-25,0.0014
2025-09-26,0.1414
2025-09-27,0.2081
2025-09-28,0.1156
2025-09-29,0.0026
2025-09-30,0.0044
2025-10-01,0.0006
2025-10-02,0.0014
2025-10-03,0.001
2025-10-04,0.0061
2025-10-05,0.1024
2025-10-06,0.0027
2025-10-07,0.0016
2025-10-08,0.0031
2025-10-09,0.0042
2025-10-10,0.0287
2025-10-11,0.4223
2025-10-12,0.2001
2025-10-13,0.0083
2025-10-14,0.0049
2025-10-15,0.003
2025-10-16,0.0171
2025-10-17,0.2347
2025-10-18,0.3135
2025-10-19,0.174
2025-10-20,0.0046
2025-10-21,0.0041
2025-10-22,0.0056
2025-10-23,0.0279
2025-10-24,0.3519
2025-10-25,0.195
2025-10-26,0.0958
2025-10-27,0.0063
2025-10-28,0.02
2025-10-29,0.0042
2025-10-30,0.0059
2025-10-31,0.1551
2025-11-01,0.0706
2025-11-02,0.2244
2025-11-03,0.0063
2025-11-04,0.0055
2025-11-05,0.0031
2025-11-06,0.0046
2025-11-07,0.1341
2025-11-08,0.3108
2025-11-09,0.0508
2025-11-10,0.004
2025-11-11,0.0131
2025-11-12,0.0118
2025-11-13,0.2412
